,處理的字串,label,predict
122,沙漠駱駝,play_song,play_song
123,我要聽故事,play_general_audiobook,play_general_audiobook
124,我要聽華語新歌,play_language_new_song,play_language_new_song
125,游鴻明,play_artist,play_artist
126,我要聽台語歌,play_language,play_language
127,我要聽蕭敬騰的歌,play_artist,play_artist
128,我要聽動力火車的歌,play_artist,play_artist
129,我要聽新歌,play_new_song,play_new_song
130,我要聽新歌,play_new_song,play_new_song
131,兩隻老虎,play_song,play_song
132,生僻字,play_song,play_song
133,Celine Dion,play_artist,play_artist
134,我要聽吳卓源的歌,play_artist,play_artist
135,愛我你就抱抱我,play_song,play_song
136,我要聽于文文的歌,play_artist,play_artist
137,我要聽英文版綠野仙蹤,play_audiobook,play_audiobook
138,播放一曲相思,play_song,play_song
139,放抒情歌,play_theme,play_theme
140,兩隻老虎,play_song,play_song
141,兩隻老虎,play_song,play_song
142,我要聽周杰倫聽見下雨的聲音,play_artist_song,play_artist_song
143,播放一曲相思,play_song,play_song
144,周傳雄,play_artist,play_artist
145,播放蕭敬騰的王妃,play_artist_album,play_artist_album
146,兩隻老虎,play_song,play_song
147,我要聽熱門歌曲,play_trending,play_trending
148,我要聽睡眠音樂,play_theme,play_theme
149,我要聽費玉清的歌,play_artist,play_artist
150,播放起風了,play_song,play_song
151,我要聽光年之外,play_song,play_song
152,我要聽吳卓源的歌,play_artist,play_artist
153,我要聽光年之外,play_song,play_song
154,我要聽買榜,play_song,play_song
155,播放音樂,play_general_music,play_general_music
156,我要聽歪批三國,play_song,play_song
157,我要聽鬼故事,play_audiobook_category,play_audiobook_category
158,我想聽甜蜜蜜,play_song,play_song
159,我要聽歪批三國,play_song,play_song
160,唱一首小蘋果,play_song,play_song
161,我要聽紅蜻蜓,play_song,play_song
162,我要聽小野麗莎的歌,play_artist,play_artist
163,播放一曲相思,play_song,play_song
164,播放八度空間,play_album,play_album
165,唱一首小蘋果,play_song,play_song
166,我要聽123我愛你,play_song,play_song
167,我要聽爵士音樂,play_category,play_category
168,愛我你就抱抱我,play_song,play_song
169,我要聽粵語歌,play_language,play_language
170,播放一曲相思,play_song,play_song
171,我要聽華語新歌,play_language_new_song,play_language_new_song
172,我要聽王力宏的歌,play_artist,play_artist
173,學貓叫,play_song,play_song
174,我要聽于文文的歌,play_artist,play_artist
175,我要聽劉德華的歌,play_artist,play_artist
176,播放一曲相思,play_song,play_song
177,我要聽心靈音樂,play_category,play_category
178,我要聽于文文的歌,play_artist,play_artist
179,播放一曲相思,play_song,play_song
180,畢書盡,play_artist,play_artist
181,故事,play_general_audiobook,play_general_audiobook
182,我要聽留不住的故事,play_song,play_song
183,我要聽林俊傑的歌,play_artist,play_artist
184,我要聽楊丞琳的歌,play_artist,play_artist
185,學貓叫,play_song,play_song
186,播放韓語歌,play_language,play_language
187,幫我剝采育的笑,play_song,play_song
188,播放熱門歌曲,play_trending,play_trending
189,我要聽童話故事,play_audiobook_category,play_audiobook_category
190,張碧晨,play_artist,play_artist
191,我要聽粵語歌,play_language,play_language
192,播放一曲相思,play_song,play_song
193,我要聽街角的祝福,play_song,play_song
194,魏龍豪相聲,play_audiobook_category,play_audiobook_category
195,我要聽鄉村音樂排行榜,play_category_chart,play_category_chart
196,我要聽新歌,play_new_song,play_new_song
197,我想聽新歌,play_new_song,play_new_song
198,我要聽光年之外,play_song,play_song
199,我要聽華語音樂,play_language,play_language
200,我要聽華語新歌,play_language_new_song,play_language_new_song
201,我要聽華語新歌,play_language_new_song,play_language_new_song
202,我要聽周杰倫的歌,play_artist,play_artist
203,我要聽台語歌,play_language,play_language
204,我要聽熱門歌曲,play_trending,play_trending
205,我要聽田馥甄的歌,play_artist,play_artist
206,我要聽周杰倫的歌,play_artist,play_artist
207,我想聽天地無霜,play_song,play_song
208,我要聽王力宏的歌,play_artist,play_artist
209,播放一曲相思,play_song,play_song
210,播放音樂,play_general_music,play_general_music
211,播放寶貝寶貝,play_song,play_song
212,學貓叫,play_song,play_song
213,我要聽張韶涵的歌,play_artist,play_artist
214,我要聽林俊傑的歌,play_artist,play_artist
215,兩隻老虎,play_song,play_song
216,我要聽愛情的模樣,play_song,play_song
217,我要聽搖滾,play_category,play_category
218,我要聽兒歌,play_song,play_song
219,我要聽李榮浩的歌,play_artist,play_artist
220,播放起風了,play_song,play_song
221,我要聽劉德華的歌,play_artist,play_artist
222,播放悲傷如雨,play_theme,play_song
223,我要聽月琴,play_song,play_song
224,我要聽買榜,play_song,play_song
225,葉倩文的哭砂,play_artist_song,play_artist_song
226,學貓叫,play_song,play_song
227,我要聽周興哲的歌,play_artist,play_artist
228,我要聽薛之謙的歌,play_artist,play_artist
229,聽廣播,play_song,play_song
230,我要聽買榜,play_song,play_song
231,我要聽橄欖樹,play_song,play_song
232,我要聽齊天大聖再鬧天宮,play_audiobook,play_audiobook
233,我要聽走到飛,play_song,play_song
234,唱一首小蘋果,play_song,play_song
235,Beat it,play_song,play_song
236,心經,play_song,play_song
237,我要聽相聲,play_audiobook_category,play_audiobook_category
238,我要聽光年之外,play_song,play_song
239,播放起風了,play_song,play_song
240,我想聽戀人未滿,play_song,play_song
241,播放,play_playlist,play_song
242,我要聽吳卓源的歌,play_artist,play_artist
243,我要聽許茹芸的歌,play_artist,play_artist
244,我要聽入陣曲,play_song,play_song
245,播放小紅帽的兒童故事,play_audiobook_category,play_audiobook_category
246,我要聽床邊故事,play_audiobook_category,play_audiobook_category
247,我要聽童話故事,play_audiobook_category,play_audiobook_category
248,我要聽熱門歌曲,play_trending,play_trending
249,我要聽相聲,play_audiobook_category,play_audiobook_category
250,我要聽對面的女孩看過來,play_song,play_song
251,我要聽走到飛,play_song,play_song
252,我要聽孫悟空觸犯天條,play_audiobook,play_audiobook
253,我要聽童話故事,play_audiobook_category,play_audiobook_category
254,華語流行音樂,play_language_trending,play_language_trending
255,播放韓語歌,play_language,play_language
256,唱一首小蘋果,play_song,play_song
257,我要聽周興哲的歌,play_artist,play_artist
258,我要聽陳綺貞的歌,play_artist,play_artist
259,我要聽留不住的故事,play_song,play_song
260,我要聽搖滾音樂,play_category,play_category
261,我要聽月琴,play_song,play_song
262,我要聽米津玄師,play_artist,play_artist
263,我要聽古典音樂,play_category,play_category
264,我要聽陳綺貞的歌,play_artist,play_artist
265,播放一曲相思,play_song,play_song
266,我要聽林俊傑的歌,play_artist,play_artist
267,我要聽鄧紫棋的歌,play_artist,play_artist
268,我要聽相聲,play_audiobook_category,play_audiobook_category
269,播放起風了,play_song,play_song
270,兩隻老虎,play_song,play_song
271,我要聽失戀排行榜,play_chart,play_chart
272,沙漠駱駝,play_song,play_song
273,我要聽光年之外,play_song,play_song
274,兩隻老虎,play_song,play_song
275,播放一曲相思,play_song,play_song
276,我要聽費玉清的歌,play_artist,play_artist
277,播放范曉萱健康歌,play_artist_song,play_artist_song
278,唱一首小蘋果,play_song,play_song
279,幫我放韋禮安的還是會,play_artist_song,play_artist_song
280,我要聽兒歌,play_song,play_song
281,播放爵士音樂,play_category,play_category
282,播放輕音樂,play_category,play_category
283,我要聽音樂,play_general_music,play_general_music
284,播放一曲相思,play_song,play_song
285,播放一曲相思,play_song,play_song
286,我要聽相聲,play_audiobook_category,play_audiobook_category
287,我要聽新歌,play_new_song,play_new_song
288,播放一曲相思,play_song,play_song
289,我要聽于文文的歌,play_artist,play_artist
290,我要聽故事,play_general_audiobook,play_general_audiobook
291,我要聽鬼故事,play_audiobook_category,play_audiobook_category
292,我要聽相聲,play_audiobook_category,play_audiobook_category
293,我要聽阿拉丁電影原聲帶a whole new world,play_song,play_song
294,沙漠駱駝,play_song,play_song
295,我要聽春天的歌曲,play_song,play_theme
296,我要聽相聲,play_audiobook_category,play_audiobook_category
297,我要聽情歌精選,play_song,play_theme
298,沙漠駱駝,play_song,play_song
299,我要聽春天的歌曲,play_song,play_theme
300,唱一首小蘋果,play_song,play_song
301,西洋音樂,play_language,play_language
302,我要聽日文歌,play_language,play_language
303,我要聽獨立音樂,play_category,play_category
304,我要聽感到憤怒的歌曲,play_theme,play_theme
305,我要聽日文歌,play_language,play_language
306,我要聽晴天,play_song,play_theme
307,我要聽伍佰的歌,play_album,play_album
308,我要聽街角的祝福,play_song,play_song
309,我要聽李榮浩的歌,play_artist,play_artist
310,我要聽張韶涵的歌,play_artist,play_artist
311,高勝美,play_artist,play_artist
312,我要聽爵士音樂,play_category,play_category
313,我要聽華語新歌,play_language_new_song,play_language_new_song
314,播放芭比的触电,play_album,play_artist
315,我要聽孫悟空觸犯天條,play_audiobook,play_audiobook
316,我要聽于文文的歌,play_artist,play_artist
317,播放起風了,play_song,play_song
318,我要聽日文歌,play_language,play_language
319,我要聽童話故事,play_audiobook_category,play_audiobook_category
320,我要聽葉啟田的歌,play_artist,play_artist
321,陳淑樺的歌,play_artist,play_artist
322,我要聽華語新歌,play_language_new_song,play_language_new_song
323,我要聽買榜,play_song,play_song
324,我要聽華語新歌,play_language_new_song,play_language_new_song
325,播放一曲相思,play_song,play_song
326,今天的歌,play_song,play_song
327,我要聽買榜,play_song,play_song
328,我要聽于文文的歌,play_artist,play_artist
329,西洋音樂,play_language,play_language
330,我要聽日文歌,play_language,play_language
331,下雨天適合聽的歌曲,play_theme,play_theme
332,我要聽搖滾音樂,play_category,play_category
333,我要聽米津玄師,play_artist,play_artist
334,我要聽費玉清的歌,play_artist,play_artist
335,愛我你就抱抱我,play_song,play_song
336,學貓叫,play_song,play_song
337,我要聽華語音樂排行榜,play_language_chart,play_language_chart
338,我要聽快樂的音樂,play_song,play_song
339,生僻字,play_song,play_song
340,我要聽周杰倫的歌,play_artist,play_artist
341,英文音樂,play_language,play_language
342,我要聽戴愛玲的空港,play_artist_song,play_artist_song
343,我要聽搖滾音樂,play_category,play_category
344,我要聽台語歌,play_language,play_language
345,我要聽小蘋果,play_song,play_song
346,我要聽玖壹壹的歌,play_artist,play_artist
347,我要聽紅蜻蜓,play_song,play_song
348,我要聽茄子蛋的歌,play_artist,play_artist
349,涼涼,play_song,play_song
350,播放一曲相思,play_song,play_song
351,我要聽排行榜,play_chart,play_chart
352,我要聽排行榜,play_chart,play_chart
353,播放蔡依林二零一八專輯,play_album,play_artist_album
354,我想聽周杰倫的歌,play_artist,play_artist
355,我要聽西洋排行榜,play_language_chart,play_language_chart
356,GABRIEL費爾,play_song,play_artist
357,我要聽周杰倫的歌,play_artist,play_artist
358,我要聽獨立音樂,play_category,play_category
359,我想聽輕音樂不要,play_artist,play_category
360,我要聽新歌,play_new_song,play_new_song
361,我要聽于文文的歌,play_artist,play_artist
362,往後餘生,play_song,play_song
363,我要聽徐佳瑩的歌,play_artist,play_artist
364,長篇小說,play_audiobook_category,play_audiobook_category
365,我要聽浪漫的音樂,play_theme,play_theme
366,我要聽林俊傑的歌,play_artist,play_artist
367,我要聽陳奕迅的歌,play_artist,play_artist
368,我要聽熱門歌曲,play_trending,play_trending
369,我要聽鬼故事,play_audiobook_category,play_audiobook_category
370,播放音樂,play_general_music,play_general_music
371,我想聽快樂情境的歌,play_theme,play_theme
372,我要聽相聲,play_audiobook_category,play_audiobook_category
373,我要聽走到飛,play_song,play_song
374,我想要聽周杰倫,play_artist,play_artist
375,我要聽 ONE OK ROCK,play_artist,play_artist
376,我要聽陳綺貞的歌,play_artist,play_artist
377,我要聽留不住的故事,play_song,play_song
378,我要聽嘻哈音樂,play_category,play_category
379,播放起風了,play_song,play_song
380,下雨天適合聽的歌曲,play_theme,play_theme
381,來首愛情的騙子我問你,play_song,play_song
382,涼涼,play_song,play_song
383,我要聽獨立音樂,play_category,play_category
384,我要聽光年之外,play_song,play_song
385,學貓叫,play_song,play_song
386,我要聽買榜,play_song,play_song
387,我要聽 Misia 的歌,play_artist,play_artist
388,我要聽許茹芸的歌,play_artist,play_artist
389,我要聽買榜,play_song,play_song
390,我要聽鳳飛飛的歌,play_artist,play_artist
391,我要聽鳳飛飛的歌,play_artist,play_artist
392,我要聽熱門歌曲,play_trending,play_trending
393,我要聽八度空間,play_album,play_album
394,愛江山更愛美人,play_song,play_song
395,我要聽吳卓源的歌,play_artist,play_artist
396,我想聽蔡依林,play_artist,play_artist
397,我想聽無言的歌,play_song,play_song
398,我要聽華語音樂,play_language,play_language
399,馬友友,play_artist,play_artist
400,我要聽華語新歌,play_language_new_song,play_language_new_song
401,我要聽張韶涵的歌,play_artist,play_artist
402,播放一曲相思,play_song,play_song
403,我要聽華語新歌,play_language_new_song,play_language_new_song
404,我要聽陳奕迅的歌,play_artist,play_artist
405,我要聽西遊記,play_audiobook,play_audiobook
406,學貓叫,play_song,play_song
407,我要聽煙花易冷,play_song,play_song
408,沒有沒有叫你同事小豹沒事,play_song,play_song
409,我要聽田馥甄的歌,play_artist,play_artist
410,我要聽留不住的故事,play_song,play_song
411,萬芳,play_artist,play_artist
412,我要聽五月天的歌,play_artist,play_artist
413,我要聽江蕙的歌,play_artist,play_artist
414,我要這首歌播放,play_playlist,play_song
415,我要聽西遊記,play_audiobook,play_audiobook
416,我要聽你的愛像月光,play_song,play_song
417,我要聽新歌,play_new_song,play_new_song
418,我要聽嘻哈音樂,play_category,play_category
419,我要聽陳蕾媽媽的皺紋,play_song,play_song
420,播放一曲相思,play_song,play_song
421,我要聽蔡琴的歌,play_artist,play_artist
422,我要聽吳卓源的歌,play_artist,play_artist
423,我要聽搖滾音樂,play_category,play_category
424,蘇芮,play_artist,play_artist
425,我要聽鳳飛飛的歌,play_artist,play_artist
426,我要聽華語音樂,play_language,play_language
427,我要聽鬼故事,play_audiobook_category,play_audiobook_category
428,我要聽林俊傑的歌,play_artist,play_artist
429,我要聽古典音樂,play_category,play_category
430,幫我播潘越雲的歌,play_artist,play_artist
431,游鴻明,play_artist,play_artist
432,播放韓語歌,play_language,play_language
433,我要聽紅蜻蜓,play_song,play_song
434,我要聽孫燕姿的歌,play_artist,play_artist
435,播放芭比的觸電,play_artist_song,play_artist_song
436,我要聽日文歌,play_language,play_language
437,我要聽快樂頌,play_song,play_song
438,播放一曲相思,play_song,play_song
439,我要聽鄧紫棋的歌,play_artist,play_artist
440,凉凉,play_song,play_song
441,我要聽情歌精選,play_song,play_theme
442,我要聽陳綺貞的歌,play_artist,play_artist
443,郭德綱的節目,play_playlist,play_artist_song
444,我要聽周杰倫的歌,play_artist,play_artist
445,我要聽買榜,play_song,play_song
446,郭德綱的節目,play_playlist,play_artist_song
447,我要聽林俊傑的歌,play_artist,play_artist
448,蔡依林安德瑞c,play_artist,play_artist
449,我要聽橄欖樹,play_song,play_song
450,往後餘生,play_song,play_song
451,我要聽鳳飛飛的歌,play_artist,play_artist
452,我要聽搖滾音樂,play_category,play_category
453,我要聽床邊故事,play_audiobook_category,play_audiobook_category
454,蕭亞軒,play_artist,play_artist
455,往後餘生,play_song,play_song
456,我要聽相聲,play_audiobook_category,play_audiobook_category
457,播放一曲相思,play_song,play_song
458,我要聽動力火車的歌,play_artist,play_artist
459,蔡幸娟,play_artist,play_artist
460,我要聽睡眠音樂,play_theme,play_theme
461,生僻字,play_song,play_song
462,我要聽我們一起學貓叫的歌,play_song,play_song
463,我要聽搖滾音樂,play_category,play_category
464,唱一首小蘋果,play_song,play_song
465,我要聽英文版綠野仙蹤,play_audiobook,play_audiobook
466,我要聽買榜,play_song,play_song
467,我要聽孫悟空觸犯天條,play_audiobook,play_audiobook
468,我要聽there's nothing holdin' me back,play_song,play_song
469,我要聽兒歌,play_song,play_song
470,我要聽你喜歡我的歌嗎,play_song,play_song
471,taylor swift,play_artist,play_artist
472,往後餘生,play_song,play_song
473,我要聽光年之外,play_song,play_song
474,我要聽宇多田光的歌,play_artist,play_artist
475,我要聽準備中,play_album,play_album
476,我要聽江蕙的歌,play_artist,play_artist
477,幫我放韋禮安的還是會,play_artist_song,play_artist_song
478,我要聽林宥嘉的歌,play_artist,play_artist
479,幫我播放沙發音樂,play_artist,play_artist
480,我想聽古典音樂,play_category,play_category
481,我要聽華語新歌,play_language_new_song,play_language_new_song
482,播放起風了,play_song,play_song
483,我要聽感到憤怒的歌曲,play_theme,play_theme
484,我要聽吳卓源的歌,play_artist,play_artist
485,涼涼,play_song,play_song
486,我要聽台語排行榜,play_language_chart,play_language_chart
487,我要聽陳綺貞的歌,play_artist,play_artist
488,唱一首小蘋果,play_song,play_song
489,我要聽陳綺貞的歌,play_artist,play_artist
490,凉凉,play_song,play_song
491,唱一首小蘋果,play_song,play_song
492,滅火器,play_artist,play_artist
493,我要聽五月天的歌,play_artist,play_artist
494,我要聽古典音樂,play_category,play_category
495,綠色,play_song,play_song
496,來首愛情的騙子我問你,play_song,play_song
497,我要聽日文歌,play_language,play_language
498,我要聽爵士音樂,play_category,play_category
499,我要聽音樂,play_general_music,play_general_music
500,我要聽蕭敬騰的歌,play_artist,play_artist
501,生僻字,play_song,play_song
502,我要聽張信哲的歌,play_artist,play_artist
503,播新聞姐姐說故事長發公主,play_category,play_song
504,播放一曲相思,play_song,play_song
505,我要聽周杰倫的歌,play_artist,play_artist
506,我要聽王妃,play_album,play_album
507,我要聽劉德華的歌,play_artist,play_artist
508,我要聽光年之外,play_song,play_song
509,我要聽輕音樂,play_artist,play_category
510,我要聽莫文蔚的歌,play_artist,play_artist
511,我要聽煙花易冷,play_song,play_song
512,播放韓語歌,play_language,play_language
513,我要聽華語新歌,play_language_new_song,play_language_new_song
514,我要聽相聲選粹,play_audiobook,play_audiobook
515,我要聽米津玄師,play_artist,play_artist
516,我要聽嘻哈音樂,play_category,play_category
517,我要聽嘻哈音樂,play_category,play_category
518,兩隻老虎,play_song,play_song
519,我要聽米津玄師,play_artist,play_artist
520,我要聽蔡琴的歌,play_artist,play_artist
521,學貓叫,play_song,play_song
522,我要聽伍佰的歌,play_album,play_album
523,我要聽光年之外,play_song,play_song
524,我要聽陳綺貞的歌,play_artist,play_artist
525,我要聽台語歌,play_language,play_language
526,李翊君的歌,play_artist,play_artist
527,我要聽新歌,play_new_song,play_new_song
528,我要聽古典音樂,play_category,play_category
529,我要聽林俊傑的歌,play_artist,play_artist
530,我要聽買榜,play_song,play_song
531,我要聽盧廣仲的歌,play_artist,play_artist
532,我要聽感到憤怒的歌曲,play_theme,play_theme
533,郭德綱的節目,play_playlist,play_artist_song
534,播放起風了,play_song,play_song
535,我要聽賴雅妍的歌,play_artist,play_artist
536,我要聽華語新歌,play_language_new_song,play_language_new_song
537,播放起風了,play_song,play_song
538,愛我你就抱抱我,play_song,play_song
539,我要聽蔡小虎的歌,play_artist,play_artist
540,我要聽鄧麗君的歌,play_artist,play_artist
541,我要聽煙花易冷,play_song,play_song
542,學貓叫,play_song,play_song
543,播放一曲相思,play_song,play_song
544,我要聽光年之外,play_song,play_song
545,我要聽田馥甄的歌,play_artist,play_artist
546,我要聽我好嗎,play_song,play_song
547,我要聽快樂頌,play_song,play_song
548,我要聽宇多田的歌,play_song,play_song
549,我要聽黃乙玲的歌,play_artist,play_artist
550,我要聽新歌,play_new_song,play_new_song
551,我要聽爵士音樂,play_category,play_category
552,我要聽韓語排行榜,play_language_chart,play_language_chart
553,播排行榜,play_chart,play_chart
554,我要聽三隻小豬,play_audiobook,play_audiobook
555,我要聽紅蜻蜓,play_song,play_song
556,學貓叫,play_song,play_song
557,水晶音樂,play_song,play_song
558,兩隻老虎,play_song,play_song
559,我要聽歪批三國,play_song,play_song
560,我要聽粵語歌,play_language,play_language
561,播放一曲相思,play_song,play_song
562,陳小雲,play_artist,play_artist
563,我要聽江蕙的歌,play_artist,play_artist
564,陳昇,play_artist,play_artist
565,播放有聲書流星雨來了,play_category,play_audiobook
566,我要聽韓語排行榜,play_language_chart,play_language_chart
567,我要聽英文版綠野仙蹤,play_audiobook,play_audiobook
568,播放一曲相思,play_song,play_song
569,我要聽田馥甄的歌,play_artist,play_artist
570,我要聽光年之外,play_song,play_song
571,播放日語歌,play_language,play_language
572,我要聽煙花易冷,play_song,play_song
573,播放小紅帽的兒童故事,play_audiobook_category,play_audiobook_category
574,我要聽買榜,play_song,play_song
575,我要聽搖滾音樂,play_category,play_category
576,我要聽光年之外,play_song,play_song
577,陳淑樺的歌,play_artist,play_artist
578,我要聽鄧麗君的歌,play_artist,play_artist
579,我要聽搖滾音樂,play_category,play_category
580,兩隻老虎,play_song,play_song
581,愛我你就抱抱我,play_song,play_song
582,我要聽小星星,play_song,play_song
583,播放教師,play_song,play_song
584,我要聽買榜,play_song,play_song
585,我要聽熱門歌曲,play_trending,play_trending
586,杜德偉,play_artist,play_artist
587,我要聽薛之謙的歌,play_artist,play_artist
588,我要聽蕭敬騰的歌,play_artist,play_artist
589,播tok,play_playlist,play_artist
590,播放音樂,play_general_music,play_general_music
591,我要聽吳卓源的歌,play_artist,play_artist
592,我要聽張雨生的歌,play_artist,play_artist
593,我要聽月琴,play_song,play_song
594,謝金燕,play_artist,play_artist
595,我要聽壁虎的歌,play_playlist,play_song
596,故事,play_general_audiobook,play_general_audiobook
597,播放韓語歌,play_language,play_language
598,我要聽張學友的歌,play_artist,play_artist
599,播放音樂,play_general_music,play_general_music
600,我要聽嘻哈音樂,play_category,play_category
601,我要聽煙花易冷,play_song,play_song
602,播放音樂,play_general_music,play_general_music
603,我要聽鄧麗君的歌,play_artist,play_artist
604,我要聽華語新歌,play_language_new_song,play_language_new_song
605,我要聽周杰倫的歌,play_artist,play_artist
606,我要聽詹雅雯的歌,play_artist,play_artist
607,播放一曲相思,play_song,play_song
608,學貓叫,play_song,play_song
609,黃襯衫平劉海小眼鏡男孩,play_song,play_song
610,我要聽熱門歌曲,play_trending,play_trending
611,我要聽鬼故事,play_audiobook_category,play_audiobook_category
612,我要聽張宇的歌,play_artist,play_artist
613,播放一曲相思,play_song,play_song
614,唱一首小蘋果,play_song,play_song
615,播放一曲相思,play_song,play_song
616,我要聽橄欖樹,play_song,play_song
617,我要聽徐佳瑩的歌,play_artist,play_artist
618,唱一首小蘋果,play_song,play_song
619,我要聽莫文蔚的歌,play_artist,play_artist
620,我要聽煙花易冷,play_song,play_song
621,我要聽光年之外,play_song,play_song
622,唱一首小蘋果,play_song,play_song
623,唱一首小蘋果,play_song,play_song
624,我要聽兒歌,play_song,play_song
625,我要聽春天的歌曲,play_song,play_theme
626,我要聽獨立音樂,play_category,play_category
627,我要聽爵士音樂,play_category,play_category
628,我愛你,play_album,play_album
629,我要聽夕陽排行榜,play_language_chart,play_chart
630,涼涼,play_song,play_song
631,唱一首小蘋果,play_song,play_song
632,我要聽張韶涵的歌,play_artist,play_artist
633,我要聽華語音樂,play_language,play_language
