處理的字串,predict
我要聽林俊傑的歌,(3 6 artist)
古雞古雞康康,(0 4 song) (4 6 artist)
播高軒的沒有你,(4 7 song)
我要聽王力宏的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
我要聽林俊傑的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
我要聽茄子蛋的歌,(3 6 artist)
我要聽搖滾音樂,(3 5 category)
沙漠駱駝,(0 4 song)
播放一曲相思,(2 6 song)
我要聽防彈少年團的歌,(3 8 artist)
故事,(0 2 general_audiobook)
我想聽tfboys的歌,(3 9 song)
我要聽防彈少年團的歌,(3 8 artist)
愛我你就抱抱我,(0 7 song)
涼涼,(0 2 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽古典音樂,(3 5 category)
我要聽孫露的歌,(3 5 artist)
往後餘生,(0 4 song)
我要聽鄧麗君的歌,(3 6 artist)
我要聽童話故事,(3 7 audiobook_category)
我要聽蔡依林的歌,(3 6 artist)
我要聽日文歌,(3 5 language)
我要聽黃乙玲的歌,(3 6 artist)
我想聽she的十七,(3 7 song)
播放歌曲,(0 4 song)
我要聽宇多田的歌,(5 7 song)
我要聽周杰倫的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
我要聽相聲,(3 5 audiobook_category)
學貓叫,(0 3 song)
往後餘生,(0 4 song)
康康,(0 2 artist)
我要聽爵士音樂,(3 5 category)
我要聽音樂,(0 5 song)
我要聽買榜,(3 5 song)
我要聽快樂天堂,(3 7 song)
我要聽天生歌姬,(3 7 album)
我要聽留不住的故事,(3 9 song)
陳淑樺的歌,(0 3 artist)
我要聽吳卓源的歌,(3 6 artist)
播放一曲相思,(2 6 song)
蘇永康,(0 3 artist)
我要聽田馥甄的歌,(3 6 artist)
播放一曲相思,(2 6 song)
播放音樂,(0 4 song)
播放小紅帽的兒童故事,(6 10 audiobook_category)
學貓叫,(0 3 song)
播放一曲相思,(2 6 song)
我要聽王力宏的歌,(3 6 artist)
我要聽留不住的故事,(3 9 song)
放抒情歌,(1 3 theme)
唱一首小蘋果,(3 6 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽周杰倫的歌,(3 6 artist)
沙漠駱駝,(0 4 song)
我要聽故事,(0 5 general_audiobook)
我要聽華語新歌,(3 5 language)
游鴻明,(0 3 artist)
我要聽台語歌,(3 5 language)
我要聽蕭敬騰的歌,(3 6 artist)
我要聽動力火車的歌,(3 7 artist)
我要聽新歌,(3 5 keyword)
我要聽新歌,(3 5 keyword)
兩隻老虎,(0 4 song)
生僻字,(0 3 song)
Celine Dion,(0 3 artist)
我要聽吳卓源的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
我要聽于文文的歌,(3 6 artist)
我要聽英文版綠野仙蹤,(3 10 audiobook)
播放一曲相思,(2 6 song)
放抒情歌,(1 3 theme)
兩隻老虎,(0 4 song)
兩隻老虎,(0 4 song)
我要聽周杰倫聽見下雨的聲音,(3 6 artist)
播放一曲相思,(2 6 song)
周傳雄,(0 3 artist)
播放蕭敬騰的王妃,(2 5 artist) (6 8 album)
兩隻老虎,(0 4 song)
我要聽熱門歌曲,(3 5 keyword)
我要聽睡眠音樂,(3 5 theme)
我要聽費玉清的歌,(3 6 artist)
播放起風了,(2 5 song)
我要聽光年之外,(3 7 song)
我要聽吳卓源的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
我要聽買榜,(3 5 song)
播放音樂,(0 4 song)
我要聽歪批三國,(3 7 song)
我要聽鬼故事,(3 6 audiobook_category)
我想聽甜蜜蜜,(3 6 song)
我要聽歪批三國,(3 7 song)
唱一首小蘋果,(3 6 song)
我要聽紅蜻蜓,(3 6 song)
我要聽小野麗莎的歌,(3 7 artist)
播放一曲相思,(2 6 song)
播放八度空間,(2 6 album)
唱一首小蘋果,(3 6 song)
我要聽123我愛你,(3 6 song)
我要聽爵士音樂,(3 5 category)
愛我你就抱抱我,(0 7 song)
我要聽粵語歌,(3 5 language)
播放一曲相思,(2 6 song)
我要聽華語新歌,(3 5 language)
我要聽王力宏的歌,(3 6 artist)
學貓叫,(0 3 song)
我要聽于文文的歌,(3 6 artist)
我要聽劉德華的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽心靈音樂,(3 7 category)
我要聽于文文的歌,(3 6 artist)
播放一曲相思,(2 6 song)
畢書盡,(0 3 artist)
故事,(0 2 general_audiobook)
我要聽留不住的故事,(3 9 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽楊丞琳的歌,(3 6 artist)
學貓叫,(0 3 song)
播放韓語歌,(2 4 language)
幫我剝采育的笑,(0 2 song)
播放熱門歌曲,(2 4 keyword)
我要聽童話故事,(3 7 audiobook_category)
張碧晨,(0 3 artist)
我要聽粵語歌,(3 5 language)
播放一曲相思,(2 6 song)
我要聽街角的祝福,(3 8 song)
魏龍豪相聲,(3 5 audiobook_category)
我要聽鄉村音樂排行榜,(3 7 category)
我要聽新歌,(3 5 keyword)
我想聽新歌,(3 5 keyword)
我要聽光年之外,(3 7 song)
我要聽華語音樂,(3 5 language)
我要聽華語新歌,(3 5 language)
我要聽華語新歌,(3 5 language)
我要聽周杰倫的歌,(3 6 artist)
我要聽台語歌,(3 5 language)
我要聽熱門歌曲,(3 5 keyword)
我要聽田馥甄的歌,(3 6 artist)
我要聽周杰倫的歌,(3 6 artist)
我想聽天地無霜,(3 7 song)
我要聽王力宏的歌,(3 6 artist)
播放一曲相思,(2 6 song)
播放音樂,(0 4 song)
播放寶貝寶貝,(2 6 song)
學貓叫,(0 3 song)
我要聽張韶涵的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
兩隻老虎,(0 4 song)
我要聽愛情的模樣,(3 8 song)
我要聽搖滾,(3 5 category)
我要聽兒歌,(3 5 song)
我要聽李榮浩的歌,(3 6 artist)
播放起風了,(2 5 song)
我要聽劉德華的歌,(3 6 artist)
播放悲傷如雨,(2 6 song)
我要聽月琴,(3 5 song)
我要聽買榜,(3 5 song)
葉倩文的哭砂,(0 3 artist) (4 6 song)
學貓叫,(0 3 song)
我要聽周興哲的歌,(3 6 artist)
我要聽薛之謙的歌,(3 6 artist)
聽廣播,(1 3 song)
我要聽買榜,(3 5 song)
我要聽橄欖樹,(3 6 song)
我要聽齊天大聖再鬧天宮,(3 11 audiobook)
我要聽走到飛,(3 6 song)
唱一首小蘋果,(3 6 song)
Beat it,(0 2 song)
心經,(0 2 song)
我要聽相聲,(3 5 audiobook_category)
我要聽光年之外,(3 7 song)
播放起風了,(2 5 song)
我想聽戀人未滿,(3 7 song)
播放,(0 2 audiobook_category)
我要聽吳卓源的歌,(3 6 artist)
我要聽許茹芸的歌,(3 6 artist)
我要聽入陣曲,(3 6 song)
播放小紅帽的兒童故事,(6 10 audiobook_category)
我要聽床邊故事,(3 7 audiobook_category)
我要聽童話故事,(3 7 audiobook_category)
我要聽熱門歌曲,(3 5 keyword)
我要聽相聲,(3 5 audiobook_category)
我要聽對面的女孩看過來,(3 11 song)
我要聽走到飛,(3 6 song)
我要聽孫悟空觸犯天條,(3 10 audiobook)
我要聽童話故事,(3 7 audiobook_category)
華語流行音樂,(0 2 language)
播放韓語歌,(2 4 language)
唱一首小蘋果,(3 6 song)
我要聽周興哲的歌,(3 6 artist)
我要聽陳綺貞的歌,(3 6 artist)
我要聽留不住的故事,(3 9 song)
我要聽搖滾音樂,(3 5 category)
我要聽月琴,(3 5 song)
我要聽米津玄師,(3 7 artist)
我要聽古典音樂,(3 5 category)
我要聽陳綺貞的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽鄧紫棋的歌,(3 6 artist)
我要聽相聲,(3 5 audiobook_category)
播放起風了,(2 5 song)
兩隻老虎,(0 4 song)
我要聽失戀排行榜,(5 8 keyword)
沙漠駱駝,(0 4 song)
我要聽光年之外,(3 7 song)
兩隻老虎,(0 4 song)
播放一曲相思,(2 6 song)
我要聽費玉清的歌,(3 6 artist)
播放范曉萱健康歌,(2 5 artist)
唱一首小蘋果,(3 6 song)
幫我放韋禮安的還是會,(3 6 artist) (7 10 song)
我要聽兒歌,(3 5 song)
播放爵士音樂,(2 4 category)
播放輕音樂,(2 5 category)
我要聽音樂,(0 5 song)
播放一曲相思,(2 6 song)
播放一曲相思,(2 6 song)
我要聽相聲,(3 5 audiobook_category)
我要聽新歌,(3 5 keyword)
播放一曲相思,(2 6 song)
我要聽于文文的歌,(3 6 artist)
我要聽故事,(0 5 general_audiobook)
我要聽鬼故事,(3 6 audiobook_category)
我要聽相聲,(3 5 audiobook_category)
我要聽阿拉丁電影原聲帶a whole new world,(11 15 song)
沙漠駱駝,(0 4 song)
我要聽春天的歌曲,(3 7 song)
我要聽相聲,(3 5 audiobook_category)
我要聽情歌精選,(3 5 theme)
沙漠駱駝,(0 4 song)
我要聽春天的歌曲,(3 7 song)
唱一首小蘋果,(3 6 song)
西洋音樂,(0 2 language)
我要聽日文歌,(3 5 language)
我要聽獨立音樂,(3 5 category)
我要聽感到憤怒的歌曲,(5 7 theme)
我要聽日文歌,(3 5 language)
我要聽晴天,(3 5 theme)
我要聽伍佰的歌,(3 6 album)
我要聽街角的祝福,(3 8 song)
我要聽李榮浩的歌,(3 6 artist)
無代的歌,(0 4 song)
我要聽張韶涵的歌,(3 6 artist)
高勝美,(0 3 artist)
我要聽爵士音樂,(3 5 category)
我要聽華語新歌,(3 5 language)
播放芭比的触电,(2 4 artist)
我要聽孫悟空觸犯天條,(3 10 audiobook)
我要聽于文文的歌,(3 6 artist)
播放起風了,(2 5 song)
我要聽日文歌,(3 5 language)
我要聽童話故事,(3 7 audiobook_category)
我要聽葉啟田的歌,(3 6 artist)
陳淑樺的歌,(0 3 artist)
我要聽華語新歌,(3 5 language)
我要聽買榜,(3 5 song)
我要聽華語新歌,(3 5 language)
播放一曲相思,(2 6 song)
今天的歌,(0 4 song)
我要聽買榜,(3 5 song)
我要聽于文文的歌,(3 6 artist)
西洋音樂,(0 2 language)
我要聽日文歌,(3 5 language)
下雨天適合聽的歌曲,(0 3 theme)
我要聽搖滾音樂,(3 5 category)
我要聽米津玄師,(3 7 artist)
我要聽費玉清的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
學貓叫,(0 3 song)
我要聽華語音樂排行榜,(3 5 language) (7 10 keyword)
我要聽快樂的音樂,(3 6 song)
生僻字,(0 3 song)
我要聽周杰倫的歌,(3 6 artist)
英文音樂,(0 2 language)
我要聽戴愛玲的空港,(3 6 artist) (7 9 song)
我要聽搖滾音樂,(3 5 category)
我要聽台語歌,(3 5 language)
我要聽小蘋果,(3 6 song)
我要聽玖壹壹的歌,(3 6 artist)
我要聽紅蜻蜓,(3 6 song)
我要聽茄子蛋的歌,(3 6 artist)
涼涼,(0 2 song)
播放一曲相思,(2 6 song)
我要聽排行榜,(3 6 keyword)
我要聽排行榜,(3 6 keyword)
播放蔡依林二零一八專輯,(2 5 artist) (6 9 album)
我想聽周杰倫的歌,(3 6 artist)
我要聽西洋排行榜,(3 5 language)
GABRIEL費爾,(0 6 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽獨立音樂,(3 5 category)
我想聽輕音樂不要,(3 6 category)
我要聽新歌,(3 5 keyword)
我要聽于文文的歌,(3 6 artist)
往後餘生,(0 4 song)
我要聽徐佳瑩的歌,(3 6 artist)
長篇小說,(2 4 audiobook_category)
我要聽浪漫的音樂,(3 5 theme)
我要聽林俊傑的歌,(3 6 artist)
我要聽陳奕迅的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
我要聽鬼故事,(3 6 audiobook_category)
播放音樂,(0 4 song)
我想聽快樂情境的歌,(3 5 theme)
我要聽相聲,(3 5 audiobook_category)
我要聽走到飛,(3 6 song)
我想要聽周杰倫,(4 7 artist)
我要聽 ONE OK ROCK,(4 7 artist)
我要聽陳綺貞的歌,(3 6 artist)
我要聽留不住的故事,(3 9 song)
我要聽嘻哈音樂,(3 5 category)
播放起風了,(2 5 song)
下雨天適合聽的歌曲,(0 3 theme)
來首愛情的騙子我問你,(2 10 song)
涼涼,(0 2 song)
我要聽獨立音樂,(3 5 category)
我要聽光年之外,(3 7 song)
學貓叫,(0 3 song)
我要聽買榜,(3 5 song)
我要聽 Misia 的歌,(4 7 song)
我要聽許茹芸的歌,(3 6 artist)
我要聽買榜,(3 5 song)
我要聽鳳飛飛的歌,(3 6 artist)
我要聽鳳飛飛的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
我要聽八度空間,(3 7 album)
愛江山更愛美人,(0 7 song)
我要聽吳卓源的歌,(3 6 artist)
我想聽蔡依林,(3 6 artist)
我想聽無言的歌,(3 7 song)
我要聽華語音樂,(3 5 language)
馬友友,(0 3 artist)
我要聽華語新歌,(3 5 language)
我要聽張韶涵的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽華語新歌,(3 5 language)
我要聽陳奕迅的歌,(3 6 artist)
我要聽西遊記,(3 6 audiobook)
學貓叫,(0 3 song)
我要聽煙花易冷,(3 7 song)
沒有沒有叫你同事小豹沒事,(10 12 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽留不住的故事,(3 9 song)
萬芳,(0 2 artist)
我要聽五月天的歌,(3 6 artist)
我要聽江蕙的歌,(3 5 artist)
我要這首歌播放,(0 2 song)
我要聽西遊記,(3 6 audiobook)
我要聽你的愛像月光,(3 9 song)
我要聽新歌,(3 5 keyword)
我要聽嘻哈音樂,(3 5 category)
我要聽陳蕾媽媽的皺紋,(5 10 song)
播放一曲相思,(2 6 song)
我要聽蔡琴的歌,(3 5 artist)
我要聽吳卓源的歌,(3 6 artist)
我要聽搖滾音樂,(3 5 category)
蘇芮,(0 2 artist)
我要聽鳳飛飛的歌,(3 6 artist)
我要聽華語音樂,(3 5 language)
我要聽鬼故事,(3 6 audiobook_category)
我要聽林俊傑的歌,(3 6 artist)
我要聽古典音樂,(3 5 category)
幫我播潘越雲的歌,(3 6 artist)
游鴻明,(0 3 artist)
播放韓語歌,(2 4 language)
我要聽紅蜻蜓,(3 6 song)
我要聽孫燕姿的歌,(3 6 artist)
播放芭比的觸電,(2 4 artist) (5 7 song)
我要聽日文歌,(3 5 language)
我要聽快樂頌,(3 6 song)
播放一曲相思,(2 6 song)
我要聽鄧紫棋的歌,(3 6 artist)
凉凉,(0 2 song)
我要聽情歌精選,(3 5 theme)
我要聽陳綺貞的歌,(3 6 artist)
郭德綱的節目,(0 3 artist)
我要聽周杰倫的歌,(3 6 artist)
我要聽買榜,(3 5 song)
郭德綱的節目,(0 3 artist)
我要聽林俊傑的歌,(3 6 artist)
蔡依林安德瑞c,(0 3 artist)
我要聽橄欖樹,(3 6 song)
往後餘生,(0 4 song)
我要聽鳳飛飛的歌,(3 6 artist)
我要聽搖滾音樂,(3 5 category)
我要聽床邊故事,(3 7 audiobook_category)
蕭亞軒,(0 3 artist)
往後餘生,(0 4 song)
我要聽相聲,(3 5 audiobook_category)
播放一曲相思,(2 6 song)
我要聽動力火車的歌,(3 7 artist)
蔡幸娟,(0 3 artist)
我要聽睡眠音樂,(3 5 theme)
生僻字,(0 3 song)
我要聽我們一起學貓叫的歌,(7 10 song)
我要聽搖滾音樂,(3 5 category)
唱一首小蘋果,(3 6 song)
我要聽英文版綠野仙蹤,(3 10 audiobook)
我要聽買榜,(3 5 song)
我要聽孫悟空觸犯天條,(3 10 audiobook)
我要聽there's nothing holdin' me back,(0 12 song)
我要聽兒歌,(3 5 song)
我要聽你喜歡我的歌嗎,(3 10 song)
taylor swift,(0 3 artist)
往後餘生,(0 4 song)
我要聽光年之外,(3 7 song)
我要聽宇多田光的歌,(3 7 artist)
我要聽準備中,(3 6 album)
我要聽江蕙的歌,(3 5 artist)
幫我放韋禮安的還是會,(3 6 artist) (7 10 song)
我要聽林宥嘉的歌,(3 6 artist)
幫我播放沙發音樂,(4 8 artist)
我想聽古典音樂,(3 5 category)
我要聽華語新歌,(3 5 language)
播放起風了,(2 5 song)
我要聽感到憤怒的歌曲,(5 7 theme)
我要聽吳卓源的歌,(3 6 artist)
涼涼,(0 2 song)
我要聽台語排行榜,(3 5 language)
我要聽陳綺貞的歌,(3 6 artist)
我,(0 1 song)
唱一首小蘋果,(3 6 song)
我要聽陳綺貞的歌,(3 6 artist)
凉凉,(0 2 song)
唱一首小蘋果,(3 6 song)
滅火器,(0 3 artist)
我要聽五月天的歌,(3 6 artist)
我要聽古典音樂,(3 5 category)
綠色,(0 2 song)
來首愛情的騙子我問你,(2 10 song)
我要聽日文歌,(3 5 language)
我要聽爵士音樂,(3 5 category)
我要聽音樂,(0 5 song)
我要聽蕭敬騰的歌,(3 6 artist)
生僻字,(0 3 song)
我要聽張信哲的歌,(3 6 artist)
播新聞姐姐說故事長發公主,(5 8 song)
播放一曲相思,(2 6 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽王妃,(3 5 album)
我要聽劉德華的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
我要聽輕音樂,(3 6 category)
我要聽莫文蔚的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
播放韓語歌,(2 4 language)
我要聽華語新歌,(3 5 language)
我要聽相聲選粹,(3 7 audiobook)
我要聽米津玄師,(3 7 artist)
我要聽嘻哈音樂,(3 5 category)
我要聽嘻哈音樂,(3 5 category)
兩隻老虎,(0 4 song)
我要聽米津玄師,(3 7 artist)
我要聽蔡琴的歌,(3 5 artist)
學貓叫,(0 3 song)
我要聽伍佰的歌,(3 6 album)
我要聽光年之外,(3 7 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽台語歌,(3 5 language)
李翊君的歌,(0 3 artist)
我要聽新歌,(3 5 keyword)
我要聽古典音樂,(3 5 category)
我要聽林俊傑的歌,(3 6 artist)
我要聽買榜,(3 5 song)
我要聽盧廣仲的歌,(3 6 artist)
我要聽感到憤怒的歌曲,(5 7 theme)
郭德綱的節目,(0 3 artist)
播放起風了,(2 5 song)
我要聽賴雅妍的歌,(3 6 artist)
我要聽華語新歌,(3 5 language)
播放起風了,(2 5 song)
愛我你就抱抱我,(0 7 song)
我要聽蔡小虎的歌,(3 6 artist)
我要聽鄧麗君的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
學貓叫,(0 3 song)
播放一曲相思,(2 6 song)
我要聽光年之外,(3 7 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽我好嗎,(3 6 song)
我要聽快樂頌,(3 6 song)
我要聽宇多田的歌,(5 7 song)
我要聽黃乙玲的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
我要聽爵士音樂,(3 5 category)
我要聽韓語排行榜,(3 5 language)
播排行榜,(1 4 keyword)
我要聽三隻小豬,(3 7 audiobook)
我要聽紅蜻蜓,(3 6 song)
學貓叫,(0 3 song)
水晶音樂,(0 4 song)
兩隻老虎,(0 4 song)
我要聽歪批三國,(3 7 song)
我要聽粵語歌,(3 5 language)
播放一曲相思,(2 6 song)
陳小雲,(0 3 artist)
我要聽江蕙的歌,(3 5 artist)
陳昇,(0 2 artist)
播放有聲書流星雨來了,(5 10 audiobook)
我要聽韓語排行榜,(3 5 language)
我要聽英文版綠野仙蹤,(3 10 audiobook)
播放一曲相思,(2 6 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
播放日語歌,(2 4 language)
我要聽煙花易冷,(3 7 song)
播放小紅帽的兒童故事,(6 10 audiobook_category)
我要聽買榜,(3 5 song)
我要聽搖滾音樂,(3 5 category)
我要聽光年之外,(3 7 song)
陳淑樺的歌,(0 3 artist)
我要聽鄧麗君的歌,(3 6 artist)
我要聽搖滾音樂,(3 5 category)
兩隻老虎,(0 4 song)
愛我你就抱抱我,(0 7 song)
我要聽小星星,(3 6 song)
播放教師,(2 4 song)
我要聽買榜,(3 5 song)
我要聽熱門歌曲,(3 5 keyword)
杜德偉,(0 3 artist)
我要聽薛之謙的歌,(3 6 artist)
我要聽蕭敬騰的歌,(3 6 artist)
播tok,(0 2 song)
播放音樂,(0 4 song)
我要聽吳卓源的歌,(3 6 artist)
我要聽張雨生的歌,(3 6 artist)
我要聽月琴,(3 5 song)
謝金燕,(0 3 artist)
我要聽壁虎的歌,(3 5 album)
故事,(0 2 general_audiobook)
播放韓語歌,(2 4 language)
我要聽張學友的歌,(3 6 artist)
播放音樂,(0 4 song)
我要聽嘻哈音樂,(3 5 category)
我要聽煙花易冷,(3 7 song)
播放音樂,(0 4 song)
我要聽鄧麗君的歌,(3 6 artist)
我要聽華語新歌,(3 5 language)
我要聽周杰倫的歌,(3 6 artist)
我要聽詹雅雯的歌,(3 6 artist)
播放一曲相思,(2 6 song)
學貓叫,(0 3 song)
黃襯衫平劉海小眼鏡男孩,(9 11 song)
我要聽熱門歌曲,(3 5 keyword)
我要聽鬼故事,(3 6 audiobook_category)
我要聽張宇的歌,(3 5 artist)
播放一曲相思,(2 6 song)
唱一首小蘋果,(3 6 song)
播放一曲相思,(2 6 song)
我要聽橄欖樹,(3 6 song)
我要聽徐佳瑩的歌,(3 6 artist)
唱一首小蘋果,(3 6 song)
我要聽莫文蔚的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
我要聽光年之外,(3 7 song)
唱一首小蘋果,(3 6 song)
唱一首小蘋果,(3 6 song)
我要聽兒歌,(3 5 song)
我要聽春天的歌曲,(3 7 song)
我要聽獨立音樂,(3 5 category)
我要聽爵士音樂,(3 5 category)
我愛你,(0 3 album)
我要聽夕陽排行榜,(3 5 language)
涼涼,(0 2 song)
唱一首小蘋果,(3 6 song)
我要聽張韶涵的歌,(3 6 artist)
我要聽華語音樂,(3 5 language)
我要聽詹雅雯的歌,(3 6 artist)
播放熱門音樂,(2 4 keyword)
播放一曲相思,(2 6 song)
我要聽鬼故事,(3 6 audiobook_category)
涼涼,(0 2 song)
我要聽田馥甄的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽江蕙的歌,(3 5 artist)
放香港的歌,(1 3 language)
我要聽走到飛,(3 6 song)
我要聽煙花易冷,(3 7 song)
我要聽紅蜻蜓,(3 6 song)
我要聽林俊傑的歌,(3 6 artist)
涼涼,(0 2 song)
我要聽搖滾音樂,(3 5 category)
我要聽節奏藍調音樂,(3 7 category)
追追追,(0 3 song)
播費玉清的晚安曲,(1 4 artist) (5 8 song)
我要聽情歌精選,(3 5 theme)
我想聽李白,(3 5 song)
我要聽排行榜,(3 6 keyword)
播放韓語歌,(2 4 language)
我要聽王力宏的歌,(3 6 artist)
我要聽西遊記,(3 6 audiobook)
我要聽三隻小豬,(3 7 audiobook)
播放一曲相思,(2 6 song)
播放一曲相思,(2 6 song)
我要聽周杰倫的歌,(3 6 artist)
許美靜,(0 3 artist)
我要聽周興哲的歌,(3 6 artist)
下一個故事,(1 5 song)
我要聽帥到分手,(3 7 song)
我要聽街角的祝福,(3 8 song)
我要聽吳卓源的歌,(3 6 artist)
我要聽橄欖樹,(3 6 song)
播放起風了,(2 5 song)
播放一曲相思,(2 6 song)
我要聽睡眠音樂,(3 5 theme)
我要聽我好嗎,(3 6 song)
電子音樂,(0 2 category)
我要聽兒歌,(3 5 song)
Celine Dion,(0 3 artist)
我要聽孫露的歌,(3 5 artist)
播放起風了,(2 5 song)
我要聽音樂,(0 5 song)
我要聽買榜,(3 5 song)
我要聽古典音樂,(3 5 category)
我要聽熱門歌曲,(3 5 keyword)
我要聽相聲,(3 5 audiobook_category)
我要聽相聲,(3 5 audiobook_category)
我要聽我好嗎,(3 6 song)
蘇芮,(0 2 artist)
沙漠駱駝,(0 4 song)
我要聽嘻哈音樂,(3 5 category)
爸爸很好的爸爸,(2 5 album)
我要聽鬼故事,(3 6 audiobook_category)
我要聽鄧麗君的歌,(3 6 artist)
我要聽王力宏的歌,(3 6 artist)
追追追,(0 3 song)
我要聽心靈音樂,(3 7 category)
我要聽搖滾音樂,(3 5 category)
我要聽光年之外,(3 7 song)
我要聽兒歌,(3 5 song)
我要聽范曉萱的大聲唱歌,(3 6 artist) (7 11 song)
我要聽劉德華的歌,(3 6 artist)
播防彈少年團的歌,(1 6 artist)
我要聽音樂,(0 5 song)
鄭秀文,(0 3 artist)
愛我你就抱抱我,(0 7 song)
我要聽買榜,(3 5 song)
yoga gentleman,(0 4 song)
我要聽on the sea,(3 6 song)
我要聽安靜,(3 5 song)
我要聽買榜,(3 5 song)
我要聽相聲選粹,(3 7 audiobook)
披頭四,(0 3 song)
放首hush hush,(2 5 song)
唱一首小蘋果,(3 6 song)
我要聽橄欖樹,(3 6 song)
我要聽動力火車的歌,(3 7 artist)
我要聽華語新歌,(3 5 language)
我要聽江蕙的歌,(3 5 artist)
我要聽搖滾音樂排行榜,(3 5 category) (7 10 keyword)
收藏歌曲,(0 2 keyword)
洪榮宏,(0 3 artist)
我要聽光年之外,(3 7 song)
我要聽鬼故事,(3 6 audiobook_category)
謝金燕,(0 3 artist)
我要聽女孩你知道嗎,(3 9 song)
我要聽香蕉歌,(3 6 song)
往後餘生,(0 4 song)
我要聽橄欖樹,(3 6 song)
我要聽西遊記,(3 6 audiobook)
播放韓語歌,(2 4 language)
愛我你就抱抱我,(0 7 song)
我要聽蘇打綠的歌,(3 6 artist)
放英文歌,(1 3 language)
我要聽江蕙的歌,(3 5 artist)
唱一首小蘋果,(3 6 song)
沙漠駱駝,(0 4 song)
阿拉丁電影原聲帶,(3 5 song)
跟我說個白雪公主故事,(4 8 audiobook)
