,處理的字串,label,predict
51,我要聽黃乙玲的歌,(3 6),(3 6)
52,陳小春,(0 3),(0 3)
53,播放一曲相思,(2 6),(2 6)
54,我要聽盧廣仲的歌,(3 6),(3 6)
55,播放音樂,,
56,我要聽節奏藍調音樂,(3 7),(3 7)
57,我要聽睡眠音樂,(3 5),(3 5)
58,我要聽搖滾音樂,(3 5),(3 5)
59,我要聽盧廣仲的歌,(3 6),(3 6)
60,我要聽童安格的歌,(3 6),(3 6)
61,往後餘生,(0 4),(0 4)
62,播放一曲相思,(2 6),(2 6)
63,獨家記憶,(0 4),(0 4)
64,我要聽林俊傑的歌,(3 6),(3 6)
65,古雞古雞康康,(4 6),
66,播高軒的沒有你,(4 7),(4 7)
67,我要聽王力宏的歌,(3 6),(3 6)
68,我要聽熱門歌曲,(3 5),(3 5)
69,我要聽林俊傑的歌,(3 6),(3 6)
70,我要聽熱門歌曲,(3 5),(3 5)
71,我要聽茄子蛋的歌,(3 6),(3 6)
72,我要聽搖滾音樂,(3 5),(3 5)
73,沙漠駱駝,(0 4),(0 4)
74,播放一曲相思,(2 6),(2 6)
75,我要聽防彈少年團的歌,(3 8),(3 8)
76,故事,(0 2),(0 2)
77,我想聽tfboys的歌,(3 9),(3 9)
78,我要聽防彈少年團的歌,(5 8),(3 8)
79,愛我你就抱抱我,(0 7),(0 7)
80,涼涼,(0 2),(0 2)
81,我要聽林俊傑的歌,(3 6),(3 6)
82,我要聽林俊傑的歌,(3 6),(3 6)
83,我要聽古典音樂,(3 5),(3 5)
84,我要聽孫露的歌,(3 5),(3 5)
85,往後餘生,(0 4),(0 4)
86,我要聽鄧麗君的歌,(3 6),(3 6)
87,我要聽童話故事,(3 7),(3 7)
88,我要聽蔡依林的歌,(3 6),(3 6)
89,我要聽日文歌,(3 5),(3 5)
90,我要聽黃乙玲的歌,(3 6),(3 6)
91,我想聽she的十七,(3 6) (7 9),(3 6) (7 9)
92,播放歌曲,,
93,我要聽宇多田的歌,(5 7),(5 7)
94,我要聽周杰倫的歌,(3 6),(3 6)
95,愛我你就抱抱我,(0 7),(0 7)
96,我要聽相聲,(3 5),(3 5)
97,學貓叫,(0 3),(0 3)
98,往後餘生,(0 4),(0 4)
99,康康,(0 2),(0 2)
100,我要聽爵士音樂,(3 5),(3 5)
101,我要聽音樂,,
102,我要聽買榜,(3 5),(3 5)
103,我要聽快樂天堂,(3 7),(3 7)
104,我要聽天生歌姬,(3 7),(3 7)
105,我要聽留不住的故事,(3 9),(3 9)
106,陳淑樺的歌,(0 3),(0 3)
107,我要聽吳卓源的歌,(3 6),(3 6)
108,播放一曲相思,(2 6),(2 6)
109,蘇永康,(0 3),(0 3)
110,我要聽田馥甄的歌,(3 6),(3 6)
111,播放一曲相思,(2 6),(2 6)
112,播放音樂,,
113,播放小紅帽的兒童故事,(6 10),(6 10)
114,學貓叫,(0 3),(0 3)
115,播放一曲相思,(2 6),(2 6)
116,我要聽王力宏的歌,(3 6),(3 6)
117,我要聽留不住的故事,(3 9),(3 9)
118,放抒情歌,(1 3),(1 3)
119,唱一首小蘋果,(3 6),(3 6)
120,我要聽林俊傑的歌,(3 6),(3 6)
121,我要聽周杰倫的歌,(3 6),(3 6)
122,沙漠駱駝,(0 4),(0 4)
123,我要聽故事,(0 5),(0 5)
124,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
125,游鴻明,(0 3),(0 3)
126,我要聽台語歌,(3 5),(3 5)
127,我要聽蕭敬騰的歌,(3 6),(3 6)
128,我要聽動力火車的歌,(3 7),(3 7)
129,我要聽新歌,(3 5),(3 5)
130,我要聽新歌,(3 5),(3 5)
131,兩隻老虎,(0 4),(0 4)
132,生僻字,(0 3),(0 3)
133,Celine Dion,(0 11),(0 11)
134,我要聽吳卓源的歌,(3 6),(3 6)
135,愛我你就抱抱我,(0 7),(0 7)
136,我要聽于文文的歌,(3 6),(3 6)
137,我要聽英文版綠野仙蹤,(3 10),(3 10)
138,播放一曲相思,(2 6),(2 6)
139,放抒情歌,(1 3),(1 3)
140,兩隻老虎,(0 4),(0 4)
141,兩隻老虎,(0 4),(0 4)
142,我要聽周杰倫聽見下雨的聲音,(3 6) (6 13),(3 6) (6 13)
143,播放一曲相思,(2 6),(2 6)
144,周傳雄,(0 3),(0 3)
145,播放蕭敬騰的王妃,(2 5) (6 8),(2 5) (6 8)
146,兩隻老虎,(0 4),(0 4)
147,我要聽熱門歌曲,(3 5),(3 5)
148,我要聽睡眠音樂,(3 5),(3 5)
149,我要聽費玉清的歌,(3 6),(3 6)
150,播放起風了,(2 5),(2 5)
151,我要聽光年之外,(3 7),(3 7)
152,我要聽吳卓源的歌,(3 6),(3 6)
153,我要聽光年之外,(3 7),(3 7)
154,我要聽買榜,(3 5),(3 5)
155,播放音樂,,
156,我要聽歪批三國,(3 7),(3 7)
157,我要聽鬼故事,(3 6),(3 6)
158,我想聽甜蜜蜜,(3 6),(3 6)
159,我要聽歪批三國,(3 7),(3 7)
160,唱一首小蘋果,(3 6),(3 6)
161,我要聽紅蜻蜓,(3 6),(3 6)
162,我要聽小野麗莎的歌,(5 7),(3 7)
163,播放一曲相思,(2 6),(2 6)
164,播放八度空間,(2 6),(2 6)
165,唱一首小蘋果,(3 6),(3 6)
166,我要聽123我愛你,(3 6),(3 6)
167,我要聽爵士音樂,(3 5),(3 5)
168,愛我你就抱抱我,(0 7),(0 7)
169,我要聽粵語歌,(3 5),(3 5)
170,播放一曲相思,(2 6),(2 6)
171,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
172,我要聽王力宏的歌,(3 6),(3 6)
173,學貓叫,(0 3),(0 3)
174,我要聽于文文的歌,(3 6),(3 6)
175,我要聽劉德華的歌,(3 6),(3 6)
176,播放一曲相思,(2 6),(2 6)
177,我要聽心靈音樂,(3 7),(3 7)
178,我要聽于文文的歌,(3 6),(3 6)
179,播放一曲相思,(2 6),(2 6)
180,畢書盡,(0 3),(0 3)
181,故事,(0 2),(0 2)
182,我要聽留不住的故事,(3 9),(3 9)
183,我要聽林俊傑的歌,(3 6),(3 6)
184,我要聽楊丞琳的歌,(3 6),(3 6)
185,學貓叫,(0 3),(0 3)
186,播放韓語歌,(2 4),(2 4)
187,幫我剝采育的笑,(0 2),
188,播放熱門歌曲,(2 4),(2 4)
189,我要聽童話故事,(3 7),(3 7)
190,張碧晨,(0 3),(0 3)
191,我要聽粵語歌,(3 5),(3 5)
192,播放一曲相思,(2 6),(2 6)
193,我要聽街角的祝福,(3 8),(3 8)
194,魏龍豪相聲,(3 5),(3 5)
195,我要聽鄉村音樂排行榜,(3 7) (7 10),(3 7) (7 10)
196,我要聽新歌,(3 5),(3 5)
197,我想聽新歌,(3 5),(3 5)
198,我要聽光年之外,(3 7),(3 7)
199,我要聽華語音樂,(3 5),(3 5)
200,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
201,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
202,我要聽周杰倫的歌,(3 6),(3 6)
203,我要聽台語歌,(3 5),(3 5)
204,我要聽熱門歌曲,(3 5),(3 5)
205,我要聽田馥甄的歌,(3 6),(3 6)
206,我要聽周杰倫的歌,(3 6),(3 6)
207,我想聽天地無霜,(3 7),(3 7)
208,我要聽王力宏的歌,(3 6),(3 6)
209,播放一曲相思,(2 6),(2 6)
210,播放音樂,,
211,播放寶貝寶貝,(2 6),(2 6)
212,學貓叫,(0 3),(0 3)
213,我要聽張韶涵的歌,(3 6),(3 6)
214,我要聽林俊傑的歌,(3 6),(3 6)
215,兩隻老虎,(0 4),(0 4)
216,我要聽愛情的模樣,(3 8),(3 8)
217,我要聽搖滾,(3 5),(3 5)
218,我要聽兒歌,(3 5),(3 5)
219,我要聽李榮浩的歌,(3 6),(3 6)
220,播放起風了,(2 5),(2 5)
221,我要聽劉德華的歌,(3 6),(3 6)
222,播放悲傷如雨,(2 4),(2 6)
223,我要聽月琴,(3 5),(3 5)
224,我要聽買榜,(3 5),(3 5)
225,葉倩文的哭砂,(0 3) (4 6),(0 3) (4 6)
226,學貓叫,(0 3),(0 3)
227,我要聽周興哲的歌,(3 6),(3 6)
228,我要聽薛之謙的歌,(3 6),(3 6)
229,聽廣播,(1 3),(1 3)
230,我要聽買榜,(3 5),(3 5)
231,我要聽橄欖樹,(3 6),(3 6)
232,我要聽齊天大聖再鬧天宮,(3 11),(3 11)
233,我要聽走到飛,(3 6),(3 6)
234,唱一首小蘋果,(3 6),(3 6)
235,Beat it,(0 7),(0 7)
236,心經,(0 2),(0 2)
237,我要聽相聲,(3 5),(3 5)
238,我要聽光年之外,(3 7),(3 7)
239,播放起風了,(2 5),(2 5)
240,我想聽戀人未滿,(3 7),(3 7)
241,播放,(0 2),
242,我要聽吳卓源的歌,(3 6),(3 6)
243,我要聽許茹芸的歌,(3 6),(3 6)
244,我要聽入陣曲,(3 6),(3 6)
245,播放小紅帽的兒童故事,(6 10),(6 10)
246,我要聽床邊故事,(3 7),(3 7)
247,我要聽童話故事,(3 7),(3 7)
248,我要聽熱門歌曲,(3 5),(3 5)
249,我要聽相聲,(3 5),(3 5)
250,我要聽對面的女孩看過來,(3 11),(3 11)
251,我要聽走到飛,(3 6),(3 6)
252,我要聽孫悟空觸犯天條,(3 10),(3 10)
253,我要聽童話故事,(3 7),(3 7)
254,華語流行音樂,(0 2) (2 4),(0 2) (2 4)
255,播放韓語歌,(2 4),(2 4)
256,唱一首小蘋果,(3 6),(3 6)
257,我要聽周興哲的歌,(3 6),(3 6)
258,我要聽陳綺貞的歌,(3 6),(3 6)
259,我要聽留不住的故事,(3 9),(3 9)
260,我要聽搖滾音樂,(3 5),(3 5)
261,我要聽月琴,(3 5),(3 5)
262,我要聽米津玄師,(3 7),(3 7)
263,我要聽古典音樂,(3 5),(3 5)
264,我要聽陳綺貞的歌,(3 6),(3 6)
265,播放一曲相思,(2 6),(2 6)
266,我要聽林俊傑的歌,(3 6),(3 6)
267,我要聽鄧紫棋的歌,(3 6),(3 6)
268,我要聽相聲,(3 5),(3 5)
269,播放起風了,(2 5),(2 5)
270,兩隻老虎,(0 4),(0 4)
271,我要聽失戀排行榜,(5 8),(5 8)
272,沙漠駱駝,(0 4),(0 4)
273,我要聽光年之外,(3 7),(3 7)
274,兩隻老虎,(0 4),(0 4)
275,播放一曲相思,(2 6),(2 6)
276,我要聽費玉清的歌,(3 6),(3 6)
277,播放范曉萱健康歌,(2 5) (5 8),(2 5) (5 8)
278,唱一首小蘋果,(3 6),(3 6)
279,幫我放韋禮安的還是會,(3 6) (7 10),(3 6) (7 10)
280,我要聽兒歌,(3 5),(3 5)
281,播放爵士音樂,(2 4),(2 4)
282,播放輕音樂,(2 5),(2 5)
283,我要聽音樂,,
284,播放一曲相思,(2 6),(2 6)
285,播放一曲相思,(2 6),(2 6)
286,我要聽相聲,(3 5),(3 5)
287,我要聽新歌,(3 5),(3 5)
288,播放一曲相思,(2 6),(2 6)
289,我要聽于文文的歌,(3 6),(3 6)
290,我要聽故事,(0 5),(0 5)
291,我要聽鬼故事,(3 6),(3 6)
292,我要聽相聲,(3 5),(3 5)
293,我要聽阿拉丁電影原聲帶a whole new world,(11 28),
294,沙漠駱駝,(0 4),(0 4)
295,我要聽春天的歌曲,(3 7),(3 7)
296,我要聽相聲,(3 5),(3 5)
297,我要聽情歌精選,(3 5),(3 5)
298,沙漠駱駝,(0 4),(0 4)
299,我要聽春天的歌曲,(3 7),(3 7)
300,唱一首小蘋果,(3 6),(3 6)
301,西洋音樂,(0 2),(0 2)
302,我要聽日文歌,(3 5),(3 5)
303,我要聽獨立音樂,(3 5),(3 5)
304,我要聽感到憤怒的歌曲,(5 7),(5 7)
305,我要聽日文歌,(3 5),(3 5)
306,我要聽晴天,(3 5),(3 5)
307,我要聽伍佰的歌,(3 6),(3 6)
308,我要聽街角的祝福,(3 8),(3 8)
309,我要聽李榮浩的歌,(3 6),(3 6)
310,我要聽張韶涵的歌,(3 6),(3 6)
311,高勝美,(0 3),(0 3)
312,我要聽爵士音樂,(3 5),(3 5)
313,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
314,播放芭比的触电,(5 7),(2 4)
315,我要聽孫悟空觸犯天條,(3 10),(3 10)
316,我要聽于文文的歌,(3 6),(3 6)
317,播放起風了,(2 5),(2 5)
318,我要聽日文歌,(3 5),(3 5)
319,我要聽童話故事,(3 7),(3 7)
320,我要聽葉啟田的歌,(3 6),(3 6)
321,陳淑樺的歌,(0 3),(0 3)
322,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
323,我要聽買榜,(3 5),(3 5)
324,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
325,播放一曲相思,(2 6),(2 6)
326,今天的歌,(0 4),(0 4)
327,我要聽買榜,(3 5),(3 5)
328,我要聽于文文的歌,(3 6),(3 6)
329,西洋音樂,(0 2),(0 2)
330,我要聽日文歌,(3 5),(3 5)
331,下雨天適合聽的歌曲,(0 3),(0 3)
332,我要聽搖滾音樂,(3 5),(3 5)
333,我要聽米津玄師,(3 7),(3 7)
334,我要聽費玉清的歌,(3 6),(3 6)
335,愛我你就抱抱我,(0 7),(0 7)
336,學貓叫,(0 3),(0 3)
337,我要聽華語音樂排行榜,(3 5) (7 10),(3 5) (7 10)
338,我要聽快樂的音樂,(3 6),(3 6)
339,生僻字,(0 3),(0 3)
340,我要聽周杰倫的歌,(3 6),(3 6)
341,英文音樂,(0 2),(0 2)
342,我要聽戴愛玲的空港,(3 6) (7 9),(3 6) (7 9)
343,我要聽搖滾音樂,(3 5),(3 5)
344,我要聽台語歌,(3 5),(3 5)
345,我要聽小蘋果,(3 6),(3 6)
346,我要聽玖壹壹的歌,(3 6),(3 6)
347,我要聽紅蜻蜓,(3 6),(3 6)
348,我要聽茄子蛋的歌,(3 6),(3 6)
349,涼涼,(0 2),(0 2)
350,播放一曲相思,(2 6),(2 6)
351,我要聽排行榜,(3 6),(3 6)
352,我要聽排行榜,(3 6),(3 6)
353,播放蔡依林二零一八專輯,(5 9),(2 5)
354,我想聽周杰倫的歌,(3 6),(3 6)
355,我要聽西洋排行榜,(3 5) (5 8),(3 5) (5 8)
356,GABRIEL費爾,(0 7),(0 6)
357,我要聽周杰倫的歌,(3 6),(3 6)
358,我要聽獨立音樂,(3 5),(3 5)
359,我想聽輕音樂不要,(3 6),(3 6)
360,我要聽新歌,(3 5),(3 5)
361,我要聽于文文的歌,(3 6),(3 6)
362,往後餘生,(0 4),(0 4)
363,我要聽徐佳瑩的歌,(3 6),(3 6)
364,長篇小說,(2 4),(0 4)
365,我要聽浪漫的音樂,(3 5),(3 5)
366,我要聽林俊傑的歌,(3 6),(3 6)
367,我要聽陳奕迅的歌,(3 6),(3 6)
368,我要聽熱門歌曲,(3 5),(3 5)
369,我要聽鬼故事,(3 6),(3 6)
370,播放音樂,,
371,我想聽快樂情境的歌,(3 5),(3 5)
372,我要聽相聲,(3 5),(3 5)
373,我要聽走到飛,(3 6),(3 6)
374,我想要聽周杰倫,(4 7),(4 7)
375,我要聽 ONE OK ROCK,(4 15),(4 15)
376,我要聽陳綺貞的歌,(3 6),(3 6)
377,我要聽留不住的故事,(3 9),(3 9)
378,我要聽嘻哈音樂,(3 5),(3 5)
379,播放起風了,(2 5),(2 5)
380,下雨天適合聽的歌曲,(0 3),(0 3)
381,來首愛情的騙子我問你,(2 10),(2 10)
382,涼涼,(0 2),(0 2)
383,我要聽獨立音樂,(3 5),(3 5)
384,我要聽光年之外,(3 7),(3 7)
385,學貓叫,(0 3),(0 3)
386,我要聽買榜,(3 5),(3 5)
387,我要聽 Misia 的歌,(4 9),(4 9)
388,我要聽許茹芸的歌,(3 6),(3 6)
389,我要聽買榜,(3 5),(3 5)
390,我要聽鳳飛飛的歌,(3 6),(3 6)
391,我要聽鳳飛飛的歌,(3 6),(3 6)
392,我要聽熱門歌曲,(3 5),(3 5)
393,我要聽八度空間,(3 7),(3 7)
394,愛江山更愛美人,(0 7),(0 7)
395,我要聽吳卓源的歌,(3 6),(3 6)
396,我想聽蔡依林,(3 6),(3 6)
397,我想聽無言的歌,(3 7),(3 7)
398,我要聽華語音樂,(3 5),(3 5)
399,馬友友,(0 3),(0 3)
400,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
401,我要聽張韶涵的歌,(3 6),(3 6)
402,播放一曲相思,(2 6),(2 6)
403,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
404,我要聽陳奕迅的歌,(3 6),(3 6)
405,我要聽西遊記,(3 6),(3 6)
406,學貓叫,(0 3),(0 3)
407,我要聽煙花易冷,(3 7),(3 7)
408,沒有沒有叫你同事小豹沒事,(10 12),(10 12)
409,我要聽田馥甄的歌,(3 6),(3 6)
410,我要聽留不住的故事,(3 9),(3 9)
411,萬芳,(0 2),(0 2)
412,我要聽五月天的歌,(3 6),(3 6)
413,我要聽江蕙的歌,(3 5),(3 5)
414,我要這首歌播放,(2 3) (5 7),
415,我要聽西遊記,(3 6),(3 6)
416,我要聽你的愛像月光,(3 6),(3 9)
417,我要聽新歌,(3 5),(3 5)
418,我要聽嘻哈音樂,(3 5),(3 5)
419,我要聽陳蕾媽媽的皺紋,(5 10),(5 10)
420,播放一曲相思,(2 6),(2 6)
421,我要聽蔡琴的歌,(3 5),(3 5)
422,我要聽吳卓源的歌,(3 6),(3 6)
423,我要聽搖滾音樂,(3 5),(3 5)
424,蘇芮,(0 2),(0 2)
425,我要聽鳳飛飛的歌,(3 6),(3 6)
426,我要聽華語音樂,(3 5),(3 5)
427,我要聽鬼故事,(3 6),(3 6)
428,我要聽林俊傑的歌,(3 6),(3 6)
429,我要聽古典音樂,(3 5),(3 5)
430,幫我播潘越雲的歌,(3 6),(3 6)
431,游鴻明,(0 3),(0 3)
432,播放韓語歌,(2 4),(2 4)
433,我要聽紅蜻蜓,(3 6),(3 6)
434,我要聽孫燕姿的歌,(3 6),(3 6)
435,播放芭比的觸電,(2 4) (5 7),(2 4) (5 7)
436,我要聽日文歌,(3 5),(3 5)
437,我要聽快樂頌,(3 6),(3 6)
438,播放一曲相思,(2 6),(2 6)
439,我要聽鄧紫棋的歌,(3 6),(3 6)
440,凉凉,(0 2),(0 2)
441,我要聽情歌精選,(3 5),(3 5)
442,我要聽陳綺貞的歌,(3 6),(3 6)
443,郭德綱的節目,(4 6),(4 6)
444,我要聽周杰倫的歌,(3 6),(3 6)
445,我要聽買榜,(3 5),(3 5)
446,郭德綱的節目,(4 6),(4 6)
447,我要聽林俊傑的歌,(3 6),(3 6)
448,蔡依林安德瑞c,(0 3),(0 3)
449,我要聽橄欖樹,(3 6),(3 6)
450,往後餘生,(0 4),(0 4)
451,我要聽鳳飛飛的歌,(3 6),(3 6)
452,我要聽搖滾音樂,(3 5),(3 5)
453,我要聽床邊故事,(3 7),(3 7)
454,蕭亞軒,(0 3),(0 3)
455,往後餘生,(0 4),(0 4)
456,我要聽相聲,(3 5),(3 5)
457,播放一曲相思,(2 6),(2 6)
458,我要聽動力火車的歌,(3 7),(3 7)
459,蔡幸娟,(0 3),(0 3)
460,我要聽睡眠音樂,(3 5),(3 5)
461,生僻字,(0 3),(0 3)
462,我要聽我們一起學貓叫的歌,(7 10),(7 10)
463,我要聽搖滾音樂,(3 5),(3 5)
464,唱一首小蘋果,(3 6),(3 6)
465,我要聽英文版綠野仙蹤,(3 10),(3 10)
466,我要聽買榜,(3 5),(3 5)
467,我要聽孫悟空觸犯天條,(3 10),(3 10)
468,我要聽there's nothing holdin' me back,(30 34),
469,我要聽兒歌,(3 5),(3 5)
470,我要聽你喜歡我的歌嗎,(3 10),(3 10)
471,taylor swift,(0 12),(0 12)
472,往後餘生,(0 4),(0 4)
473,我要聽光年之外,(3 7),(3 7)
474,我要聽宇多田光的歌,(3 7),(3 7)
475,我要聽準備中,(3 6),(3 6)
476,我要聽江蕙的歌,(3 5),(3 5)
477,幫我放韋禮安的還是會,(3 6) (7 10),(3 6) (7 10)
478,我要聽林宥嘉的歌,(3 6),(3 6)
479,幫我播放沙發音樂,(4 8),(4 8)
480,我想聽古典音樂,(3 5),(3 5)
481,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
482,播放起風了,(2 5),(2 5)
483,我要聽感到憤怒的歌曲,(5 7),(5 7)
484,我要聽吳卓源的歌,(3 6),(3 6)
485,涼涼,(0 2),(0 2)
486,我要聽台語排行榜,(3 5) (5 8),(3 5) (5 8)
487,我要聽陳綺貞的歌,(3 6),(3 6)
488,唱一首小蘋果,(3 6),(3 6)
489,我要聽陳綺貞的歌,(3 6),(3 6)
490,凉凉,(0 2),(0 2)
491,唱一首小蘋果,(3 6),(3 6)
492,滅火器,(0 3),(0 3)
493,我要聽五月天的歌,(3 6),(3 6)
494,我要聽古典音樂,(3 5),(3 5)
495,綠色,(0 2),(0 2)
496,來首愛情的騙子我問你,(2 10),(2 10)
497,我要聽日文歌,(3 5),(3 5)
498,我要聽爵士音樂,(3 5),(3 5)
499,我要聽音樂,,
500,我要聽蕭敬騰的歌,(3 6),(3 6)
501,生僻字,(0 3),(0 3)
502,我要聽張信哲的歌,(3 6),(3 6)
503,播新聞姐姐說故事長發公主,(5 8),(5 8)
504,播放一曲相思,(2 6),(2 6)
505,我要聽周杰倫的歌,(3 6),(3 6)
506,我要聽王妃,(3 5),(3 5)
507,我要聽劉德華的歌,(3 6),(3 6)
508,我要聽光年之外,(3 7),(3 7)
509,我要聽輕音樂,(3 6),(3 6)
510,我要聽莫文蔚的歌,(3 6),(3 6)
511,我要聽煙花易冷,(3 7),(3 7)
512,播放韓語歌,(2 4),(2 4)
513,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
514,我要聽相聲選粹,(3 7),(3 7)
515,我要聽米津玄師,(3 7),(3 7)
516,我要聽嘻哈音樂,(3 5),(3 5)
517,我要聽嘻哈音樂,(3 5),(3 5)
518,兩隻老虎,(0 4),(0 4)
519,我要聽米津玄師,(3 7),(3 7)
520,我要聽蔡琴的歌,(3 5),(3 5)
521,學貓叫,(0 3),(0 3)
522,我要聽伍佰的歌,(3 6),(3 6)
523,我要聽光年之外,(3 7),(3 7)
524,我要聽陳綺貞的歌,(3 6),(3 6)
525,我要聽台語歌,(3 5),(3 5)
526,李翊君的歌,(0 3),(0 3)
527,我要聽新歌,(3 5),(3 5)
528,我要聽古典音樂,(3 5),(3 5)
529,我要聽林俊傑的歌,(3 6),(3 6)
530,我要聽買榜,(3 5),(3 5)
531,我要聽盧廣仲的歌,(3 6),(3 6)
532,我要聽感到憤怒的歌曲,(5 7),(5 7)
533,郭德綱的節目,(4 6),(4 6)
534,播放起風了,(2 5),(2 5)
535,我要聽賴雅妍的歌,(3 6),(3 6)
536,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
537,播放起風了,(2 5),(2 5)
538,愛我你就抱抱我,(0 7),(0 7)
539,我要聽蔡小虎的歌,(3 6),(3 6)
540,我要聽鄧麗君的歌,(3 6),(3 6)
541,我要聽煙花易冷,(3 7),(3 7)
542,學貓叫,(0 3),(0 3)
543,播放一曲相思,(2 6),(2 6)
544,我要聽光年之外,(3 7),(3 7)
545,我要聽田馥甄的歌,(3 6),(3 6)
546,我要聽我好嗎,(3 6),(3 6)
547,我要聽快樂頌,(3 6),(3 6)
548,我要聽宇多田的歌,(5 7),(5 7)
549,我要聽黃乙玲的歌,(3 6),(3 6)
550,我要聽新歌,(3 5),(3 5)
551,我要聽爵士音樂,(3 5),(3 5)
552,我要聽韓語排行榜,(3 5) (5 8),(3 5) (5 8)
553,播排行榜,(1 4),(1 4)
554,我要聽三隻小豬,(3 7),(3 7)
555,我要聽紅蜻蜓,(3 6),(3 6)
556,學貓叫,(0 3),(0 3)
557,水晶音樂,(0 4),(0 4)
558,兩隻老虎,(0 4),(0 4)
559,我要聽歪批三國,(3 7),(3 7)
560,我要聽粵語歌,(3 5),(3 5)
561,播放一曲相思,(2 6),(2 6)
562,陳小雲,(0 3),(0 3)
563,我要聽江蕙的歌,(3 5),(3 5)
564,陳昇,(0 2),(0 2)
565,播放有聲書流星雨來了,(2 5),(5 8)
566,我要聽韓語排行榜,(3 5) (5 8),(3 5) (5 8)
567,我要聽英文版綠野仙蹤,(3 10),(3 10)
568,播放一曲相思,(2 6),(2 6)
569,我要聽田馥甄的歌,(3 6),(3 6)
570,我要聽光年之外,(3 7),(3 7)
571,播放日語歌,(2 4),(2 4)
572,我要聽煙花易冷,(3 7),(3 7)
573,播放小紅帽的兒童故事,(6 10),(6 10)
574,我要聽買榜,(3 5),(3 5)
575,我要聽搖滾音樂,(3 5),(3 5)
576,我要聽光年之外,(3 7),(3 7)
577,陳淑樺的歌,(0 3),(0 3)
578,我要聽鄧麗君的歌,(3 6),(3 6)
579,我要聽搖滾音樂,(3 5),(3 5)
580,兩隻老虎,(0 4),(0 4)
581,愛我你就抱抱我,(0 7),(0 7)
582,我要聽小星星,(3 6),(3 6)
583,播放教師,(0 2),(2 4)
584,我要聽買榜,(3 5),(3 5)
585,我要聽熱門歌曲,(3 5),(3 5)
586,杜德偉,(0 3),(0 3)
587,我要聽薛之謙的歌,(3 6),(3 6)
588,我要聽蕭敬騰的歌,(3 6),(3 6)
589,播tok,(1 4),(1 4)
590,播放音樂,,
591,我要聽吳卓源的歌,(3 6),(3 6)
592,我要聽張雨生的歌,(3 6),(3 6)
593,我要聽月琴,(3 5),(3 5)
594,謝金燕,(0 3),(0 3)
